""_id","_labels","Duplex","comuna","desc_conexion","es_modular","estado_puerto","fabricante","host_puerto_id","hostname","ip_gestion","link_id","modelo","modo","num_puertos_conect","num_puertos_totales","owner_switch","puerto_id","region","remote_hostname","role","serial_number","tipo","tipo_puerto","ubicacion","velocidad","vlan","_start","_end","_type"
"107",":Puerto","full","","Conexion a CMXB 0-28 (RIGHT) GE2 CCN7","","activo","","CH-SW-02-LRY_Ethernet1/37","CCN7","","LNK:CH-SW-02-LRY:Ethernet1/37__CMXB","","trunk","","","CH-SW-02-LRY","Ethernet1/37","","CCN7","","","","físico","","1000.0","222",,,
"108",":Puerto","full","","Conexion a CMXB 0-28 (RIGHT) GE4 CCN7","","activo","","CH-SW-02-LRY_Ethernet1/38","CCN7","","LNK:CH-SW-02-LRY:Ethernet1/38__CMXB","","trunk","","","CH-SW-02-LRY","Ethernet1/38","","CCN7","","","","físico","","1000.0","219-220",,,
"109",":Puerto","","","","","activo","","CH-SW-02-LRY_Ethernet1/39","","","","","routed","","","CH-SW-02-LRY","Ethernet1/39","","","","","","físico","","","",,,
"110",":Puerto","","","","","activo","","CH-SW-02-LRY_Ethernet1/40","","","","","monitor","","","CH-SW-02-LRY","Ethernet1/40","","","","","","físico","","","",,,
"111",":Puerto","full","","Conexion a CMXB 0-28 (RIGHT) GE2 CCN6","","activo","","CH-SW-02-LRY_Ethernet1/41","CCN6","","LNK:CH-SW-02-LRY:Ethernet1/41__CMXB","","trunk","","","CH-SW-02-LRY","Ethernet1/41","","CCN6","","","","físico","","1000.0","215-216",,,
"112",":Puerto","full","","Conexion a CMXB 0-28 (RIGHT) GE2 CCN6","","activo","","CH-SW-02-LRY_Ethernet1/42","CCN6","","LNK:CH-SW-02-LRY:Ethernet1/42__CMXB","","trunk","","","CH-SW-02-LRY","Ethernet1/42","","CCN6","","","","físico","","1000.0","218",,,
"113",":Puerto","","","","","activo","","CH-SW-02-LRY_Ethernet1/43","","","","","","","","CH-SW-02-LRY","Ethernet1/43","","","","","","físico","","","",,,
"114",":Puerto","","","","","activo","","CH-SW-02-LRY_Ethernet1/44","","","","","","","","CH-SW-02-LRY","Ethernet1/44","","","","","","físico","","","",,,
"115",":Puerto","","","","","activo","","CH-SW-02-LRY_Ethernet1/45","","","","","","","","CH-SW-02-LRY","Ethernet1/45","","","","","","físico","","","",,,
"116",":Puerto","full","","Monitor Server eno5","","activo","","CH-SW-02-LRY_Ethernet1/46","Monitor Server eno5","","LNK:CH-SW-02-LRY:Ethernet1/46__MONITOR","","access","","","CH-SW-02-LRY","Ethernet1/46","","Monitor Server eno5","","","","físico","","1000.0","655",,,
"117",":Puerto","","","Conexion back2back CH-SW-01-LRY","","activo","","CH-SW-02-LRY_Ethernet1/47","CH-SW-01-LRY","","LNK:CH-SW-02-LRY:Ethernet1/47__CH-SW-01-LRY:Ethernet1/47","","trunk","","","CH-SW-02-LRY","Ethernet1/47","","CH-SW-01-LRY","","","","físico","","1000.0","506,651,655-658,662",,,
"118",":Puerto","","","Conexion back2back CH-SW-01-LRY","","activo","","CH-SW-02-LRY_Ethernet1/48","CH-SW-01-LRY","","LNK:CH-SW-02-LRY:Ethernet1/48__CH-SW-01-LRY:Ethernet1/48","","trunk","","","CH-SW-02-LRY","Ethernet1/48","","CH-SW-01-LRY","","","","físico","","1000.0","506,651,655-658,662",,,
"119",":Puerto","full","","Conexion a SCLLIR-MPE2","","activo","","CH-SW-02-LRY_Ethernet1/49","SCLLIR-MPE2","","","","trunk","","","CH-SW-02-LRY","Ethernet1/49","","SCLLIR-MPE2","","","","físico","","","215-216,218-220,222,501,506,651,653,655-658,661-662",,,
"120",":Puerto","","","","","activo","","CH-SW-02-LRY_Ethernet1/50","","","","","","","","CH-SW-02-LRY","Ethernet1/50","","","","","","físico","","","",,,
"121",":Puerto","","","","","activo","","CH-SW-02-LRY_Ethernet1/51","","","","","","","","CH-SW-02-LRY","Ethernet1/51","","","","","","físico","","","",,,
"122",":Puerto","","","","","activo","","CH-SW-02-LRY_Ethernet1/52","","","","","","","","CH-SW-02-LRY","Ethernet1/52","","","","","","físico","","","",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","17","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","18","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","19","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","20","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","21","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","22","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","23","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","24","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","25","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","26","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","27","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","28","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","29","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","30","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","31","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","32","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","33","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","34","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","35","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","36","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","37","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","38","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","39","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","40","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","41","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","42","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","43","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","44","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","45","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","46","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","47","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","48","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","49","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","50","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","51","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","52","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","53","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","54","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","55","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","56","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","57","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","58","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","59","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","60","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","61","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","62","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","63","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","64","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","65","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","66","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","67","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","68","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","69","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","70","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","71","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","72","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","73","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","74","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","75","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","76","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","77","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","78","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","79","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","80","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","81","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","82","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","83","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","84","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","85","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","86","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","87","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","88","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","89","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","90","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","91","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","92","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","93","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","94","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","95","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","96","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","97","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","98","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","99","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","100","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","101","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","102","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","103","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","104","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","105","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","106","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","107","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","108","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","109","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","110","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","111","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","112","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","113","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","114","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","115","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","116","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","117","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","118","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","119","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","120","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","121","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","122","SW_PO"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"20","2","CONECTA_A"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"21","2","CONECTA_A"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"22","2","CONECTA_A"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"24","3","CONECTA_A"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"27","4","CONECTA_A"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"33","5","CONECTA_A"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"34","6","CONECTA_A"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"35","7","CONECTA_A"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"36","8","CONECTA_A"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"37","8","CONECTA_A"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"38","9","CONECTA_A"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"39","10","CONECTA_A"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"40","10","CONECTA_A"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"41","10","CONECTA_A"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"42","11","CONECTA_A"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"43","11","CONECTA_A"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"45","6","CONECTA_A"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"46","6","CONECTA_A"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"49","4","CONECTA_A"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"50","3","CONECTA_A"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"51","4","CONECTA_A"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"53","12","CONECTA_A"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"54","13","CONECTA_A"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"55","13","CONECTA_A"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"58","14","CONECTA_A"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"59","14","CONECTA_A"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"63","15","CONECTA_A"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"66","16","CONECTA_A"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"73","2","CONECTA_A"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"74","2","CONECTA_A"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"75","2","CONECTA_A"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"77","3","CONECTA_A"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"80","4","CONECTA_A"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"86","5","CONECTA_A"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"87","6","CONECTA_A"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"88","7","CONECTA_A"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"89","8","CONECTA_A"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"90","8","CONECTA_A"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"91","9","CONECTA_A"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"92","10","CONECTA_A"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"93","10","CONECTA_A"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"94","10","CONECTA_A"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"95","11","CONECTA_A"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"96","11","CONECTA_A"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"98","6","CONECTA_A"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"99","6","CONECTA_A"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"102","4","CONECTA_A"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"103","3","CONECTA_A"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"104","4","CONECTA_A"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"106","12","CONECTA_A"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"107","13","CONECTA_A"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"108","13","CONECTA_A"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"111","14","CONECTA_A"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"112","14","CONECTA_A"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"116","15","CONECTA_A"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"119","16","CONECTA_A"
"
