""_id","_labels","Duplex","comuna","desc_conexion","es_modular","estado_puerto","fabricante","host_puerto_id","hostname","ip_gestion","link_id","modelo","modo","num_puertos_conect","num_puertos_totales","owner_switch","puerto_id","region","remote_hostname","role","serial_number","tipo","tipo_puerto","ubicacion","velocidad","vlan","_start","_end","_type"
"44",":Puerto","","","","","activo","","CH-SW-01-LRY_Ethernet1/27","","","","","","","","CH-SW-01-LRY","Ethernet1/27","","","","","","físico","","","",,,
"45",":Puerto","","","Conexion Diameter a ETH5-OCCDOR1","","activo","","CH-SW-01-LRY_Ethernet1/28","OCCDOR1","","LNK:CH-SW-01-LRY:Ethernet1/28__OCCDOR1","","access","","","CH-SW-01-LRY","Ethernet1/28","","OCCDOR1","","","","físico","","","657",,,
"46",":Puerto","full","","Conexion Diameter a ETH6-OCCDOR1","","activo","","CH-SW-01-LRY_Ethernet1/29","OCCDOR1","","LNK:CH-SW-01-LRY:Ethernet1/29__OCCDOR1","","access","","","CH-SW-01-LRY","Ethernet1/29","","OCCDOR1","","","","físico","","1000.0","653",,,
"47",":Puerto","","","","","inactivo","","CH-SW-01-LRY_Ethernet1/30","","","","","","","","CH-SW-01-LRY","Ethernet1/30","","","","","","físico","","","",,,
"48",":Puerto","","","","","inactivo","","CH-SW-01-LRY_Ethernet1/31","","","","","","","","CH-SW-01-LRY","Ethernet1/31","","","","","","físico","","","",,,
"49",":Puerto","full","","Conexion a SDPDOR7B / O&M","","activo","","CH-SW-01-LRY_Ethernet1/32","SDPDOR7B","","LNK:CH-SW-01-LRY:Ethernet1/32__SDPDOR7B","","access","","","CH-SW-01-LRY","Ethernet1/32","","SDPDOR7B","","","","físico","","100.0","651",,,
"50",":Puerto","full","","Conexion a SDPDOR7A / Payload","","activo","","CH-SW-01-LRY_Ethernet1/33","SDPDOR7A","","LNK:CH-SW-01-LRY:Ethernet1/33__SDPDOR7A","","access","","","CH-SW-01-LRY","Ethernet1/33","","SDPDOR7A","","","","físico","","1000.0","655",,,
"51",":Puerto","full","","Conexion a SDPDOR7B / Sigtran2","","activo","","CH-SW-01-LRY_Ethernet1/34","SDPDOR7B","","LNK:CH-SW-01-LRY:Ethernet1/34__SDPDOR7B","","access","","","CH-SW-01-LRY","Ethernet1/34","","SDPDOR7B","","","","físico","","1000.0","653",,,
"52",":Puerto","","","","","activo","","CH-SW-01-LRY_Ethernet1/35","","","","","","","","CH-SW-01-LRY","Ethernet1/35","","","","","","físico","","","",,,
"53",":Puerto","","","CHSW02DOR / arch-srv_net1","","activo","","CH-SW-01-LRY_Ethernet1/36","CHSW02DOR","","LNK:CH-SW-01-LRY:Ethernet1/36__CHSW02DOR","","access","","","CH-SW-01-LRY","Ethernet1/36","","CHSW02DOR","","","","físico","","","651",,,
"54",":Puerto","full","","Conexion a CMXB 0-28 (RIGHT) GE2 CCN7","","activo","","CH-SW-01-LRY_Ethernet1/37","CCN7","","LNK:CCN7__CH-SW-01-LRY:Ethernet1/37","","trunk","","","CH-SW-01-LRY","Ethernet1/37","","CCN7","","","","físico","","1000.0","222",,,
"55",":Puerto","full","","Conexion a CMXB 0-28 (RIGHT) GE4 CCN7","","activo","","CH-SW-01-LRY_Ethernet1/38","CCN7","","LNK:CCN7__CH-SW-01-LRY:Ethernet1/38","","trunk","","","CH-SW-01-LRY","Ethernet1/38","","CCN7","","","","físico","","1000.0","219-220",,,
"56",":Puerto","","","","","activo","","CH-SW-01-LRY_Ethernet1/39","","","","","routed","","","CH-SW-01-LRY","Ethernet1/39","","","","","","físico","","","",,,
"57",":Puerto","","","","","activo","","CH-SW-01-LRY_Ethernet1/40","","","","","monitor","","","CH-SW-01-LRY","Ethernet1/40","","","","","","físico","","","",,,
