host_puerto_id;hostname;puerto_id;desc_conexion;tipo_puerto;velocidad;estado_puerto;vlan;modo;mac_conectada;Duplex;remote_hostname;link_id;owner_switch
CH-SW-01-LRY_Ethernet1/32;SDPDOR7B;Ethernet1/32;Conexion a SDPDOR7B / O&M;físico;100.0;activo;651;access;;full;SDPDOR7B;LNK:CH-SW-01-LRY:Ethernet1/32__SDPDOR7B;CH-SW-01-LRY
CH-SW-01-LRY_Ethernet1/33;SDPDOR7A;Ethernet1/33;Conexion a SDPDOR7A / Payload;físico;1000.0;activo;655;access;;full;SDPDOR7A;LNK:CH-SW-01-LRY:Ethernet1/33__SDPDOR7A;CH-SW-01-LRY
CH-SW-01-LRY_Ethernet1/34;SDPDOR7B;Ethernet1/34;Conexion a SDPDOR7B / Sigtran2;físico;1000.0;activo;653;access;;full;SDPDOR7B;LNK:CH-SW-01-LRY:Ethernet1/34__SDPDOR7B;CH-SW-01-LRY
CH-SW-01-LRY_Ethernet1/35;;Ethernet1/35;;físico;;activo;;;;;;;CH-SW-01-LRY
CH-SW-01-LRY_Ethernet1/36;CHSW02DOR;Ethernet1/36;CHSW02DOR / arch-srv_net1;físico;;activo;651;access;;;CHSW02DOR;LNK:CH-SW-01-LRY:Ethernet1/36__CHSW02DOR;CH-SW-01-LRY
CH-SW-01-LRY_Ethernet1/37;CCN7;Ethernet1/37;Conexion a CMXB 0-28 (RIGHT) GE2 CCN7;físico;1000.0;activo;222;trunk;;full;CCN7;LNK:CCN7__CH-SW-01-LRY:Ethernet1/37;CH-SW-01-LRY
CH-SW-01-LRY_Ethernet1/38;CCN7;Ethernet1/38;Conexion a CMXB 0-28 (RIGHT) GE4 CCN7;físico;1000.0;activo;219-220;trunk;;full;CCN7;LNK:CCN7__CH-SW-01-LRY:Ethernet1/38;CH-SW-01-LRY
CH-SW-01-LRY_Ethernet1/39;;Ethernet1/39;;físico;;activo;;routed;;;;;CH-SW-01-LRY
CH-SW-01-LRY_Ethernet1/40;;Ethernet1/40;;físico;;activo;;monitor;;;;;CH-SW-01-LRY
CH-SW-01-LRY_Ethernet1/41;CCN6;Ethernet1/41;Conexion a CMXB 0-28 (RIGHT) GE2 CCN6;físico;1000.0;activo;215-216;trunk;;full;CCN6;LNK:CCN6__CH-SW-01-LRY:Ethernet1/41;CH-SW-01-LRY
CH-SW-01-LRY_Ethernet1/42;CCN6;Ethernet1/42;Conexion a CMXB 0-28 (RIGHT) GE2 CCN6;físico;1000.0;activo;218;trunk;;full;CCN6;LNK:CCN6__CH-SW-01-LRY:Ethernet1/42;CH-SW-01-LRY
CH-SW-01-LRY_Ethernet1/43;;Ethernet1/43;;físico;;activo;;;;;;;CH-SW-01-LRY
CH-SW-01-LRY_Ethernet1/44;;Ethernet1/44;;físico;;activo;;;;;;;CH-SW-01-LRY
CH-SW-01-LRY_Ethernet1/45;;Ethernet1/45;;físico;;activo;;;;;;;CH-SW-01-LRY
CH-SW-01-LRY_Ethernet1/46;Monitor Server eno5;Ethernet1/46;Monitor Server eno5;físico;1000.0;activo;655;access;;full;Monitor Server eno5;LNK:CH-SW-01-LRY:Ethernet1/46__MONITOR SERVER ENO5;CH-SW-01-LRY
CH-SW-01-LRY_Ethernet1/47;CH-SW-02-LRY;Ethernet1/47;Conexion back2back CH-SW-02-LRY;físico;1000.0;activo;506,651,655-658,662;trunk;;;CH-SW-02-LRY;LNK:CH-SW-01-LRY:Ethernet1/47__CH-SW-02-LRY:Ethernet1/47;CH-SW-01-LRY
CH-SW-01-LRY_Ethernet1/48;CH-SW-02-LRY;Ethernet1/48;Conexion back2back CH-SW-02-LRY;físico;1000.0;activo;506,651,655-658,662;trunk;;;CH-SW-02-LRY;LNK:CH-SW-01-LRY:Ethernet1/48__CH-SW-02-LRY:Ethernet1/48;CH-SW-01-LRY
